订单ID,出发日期,出发城市,到达城市,交通方式,座位等级,旅客人数,票价(元),总金额(元),旅行类型,旅行时长(小时),是否准点,预订渠道
TRP00001,2026-05-19,西安,郑州,自驾,软卧,5,552.24,2380.69,探亲,3.6,否,飞猪
TRP00002,2026-02-02,武汉,长沙,轮渡,软卧,3,2011.92,4997.24,医疗,2.9,否,携程
TRP00003,2026-03-05,天津,北京,飞机,软卧,4,946.68,3200.04,商务,4.1,否,飞猪
TRP00004,2026-04-22,昆明,大理,动车,商务舱,4,903.31,3543.93,休闲,1.9,否,线下售票窗口
TRP00005,2026-06-22,武汉,长沙,汽车,硬卧,2,2537.28,4923.44,旅游,5.2,否,携程
TRP00006,2026-02-06,昆明,大理,轮渡,商务舱,5,1377.74,6280.18,休闲,3.7,否,去哪儿
TRP00007,2026-06-02,北京,上海,高铁,一等座,5,704.4,2637.35,休闲,8.8,否,APP直购
TRP00008,2026-07-25,西安,郑州,飞机,二等座,4,2008.42,6162.65,商务,6.5,是,飞猪
TRP00009,2026-05-16,北京,上海,飞机,经济舱,1,2044.05,1642.06,旅游,2.3,否,线下售票窗口
TRP00010,2026-01-28,武汉,长沙,汽车,硬卧,1,261.05,186.03,探亲,6.5,否,线下售票窗口
TRP00011,2026-03-08,武汉,长沙,轮渡,二等座,3,366.29,965.17,商务,5.3,是,去哪儿
TRP00012,2026-04-09,天津,北京,动车,硬卧,4,606.51,1801.01,探亲,10.1,是,12306
TRP00013,2026-01-27,南京,上海,高铁,商务座,3,1485.19,3231.72,休闲,3.8,否,线下售票窗口
TRP00014,2026-07-17,南京,上海,汽车,软卧,1,1189.48,1154.89,旅游,11.9,否,携程
TRP00015,2026-07-01,成都,重庆,飞机,软卧,2,1412.17,2801.55,医疗,2.3,否,APP直购
TRP00016,2026-05-18,天津,北京,动车,硬卧,5,2579.28,12420.09,探亲,2.1,否,线下售票窗口
TRP00017,2026-01-27,武汉,长沙,飞机,商务座,4,2878.32,9236.1,商务,6.4,是,APP直购
TRP00018,2026-02-03,广州,深圳,高铁,商务舱,3,1854.08,5063.92,商务,1.1,是,线下售票窗口
TRP00019,2026-02-25,广州,深圳,轮渡,商务座,2,1862.32,3670.57,医疗,2.0,是,飞猪
TRP00020,2026-03-23,西安,郑州,轮渡,软卧,2,1846.33,3123.67,休闲,9.1,否,携程
TRP00021,2026-04-03,昆明,大理,自驾,经济舱,3,1633.81,3925.81,旅游,5.7,否,飞猪
TRP00022,2026-06-27,广州,深圳,汽车,硬卧,3,2794.9,7974.58,商务,10.3,是,12306
TRP00023,2026-06-16,西安,郑州,轮渡,一等座,2,950.54,1513.39,商务,0.5,是,12306
TRP00024,2026-03-29,沈阳,大连,动车,软卧,2,1770.05,3093.3,旅游,9.4,否,去哪儿
TRP00025,2026-06-30,成都,重庆,高铁,软卧,2,109.18,217.32,休闲,4.6,是,12306
TRP00026,2026-07-06,成都,重庆,汽车,商务座,2,2711.78,4146.08,医疗,5.7,否,APP直购
TRP00027,2026-07-01,南京,上海,自驾,商务座,3,2634.49,7727.24,商务,9.3,否,12306
TRP00028,2026-01-15,广州,深圳,高铁,经济舱,2,332.26,625.55,商务,1.3,是,去哪儿
TRP00029,2026-07-17,昆明,大理,飞机,商务舱,5,2654.79,10379.55,商务,5.9,是,携程
TRP00030,2026-02-27,天津,北京,汽车,一等座,5,1762.54,7602.69,商务,3.0,否,携程
TRP00031,2026-06-25,昆明,大理,动车,硬卧,4,1086.75,3427.08,休闲,6.4,否,飞猪
TRP00032,2026-05-25,杭州,苏州,动车,软卧,1,91.92,70.35,旅游,2.4,是,飞猪
TRP00033,2026-01-24,武汉,长沙,汽车,硬卧,3,2750.12,6260.73,探亲,4.8,否,飞猪
TRP00034,2026-01-25,杭州,苏州,汽车,商务舱,1,345.76,265.91,探亲,8.2,否,APP直购
TRP00035,2026-03-10,沈阳,大连,飞机,软卧,5,1854.2,8308.85,旅游,1.3,是,12306
TRP00036,2026-06-30,沈阳,大连,轮渡,一等座,3,2488.7,5269.7,医疗,3.3,是,飞猪
TRP00037,2026-04-30,成都,重庆,动车,二等座,3,2563.77,6357.91,医疗,6.7,否,12306
TRP00038,2026-07-18,广州,深圳,自驾,二等座,2,1142.46,2228.53,商务,0.7,否,线下售票窗口
TRP00039,2026-07-26,北京,上海,飞机,商务座,2,545.03,861.5,旅游,2.7,是,12306
TRP00040,2026-07-05,昆明,大理,高铁,商务座,4,2395.95,8844.6,商务,11.4,是,飞猪
TRP00041,2026-04-06,昆明,大理,高铁,经济舱,1,2354.62,1957.19,探亲,10.7,否,去哪儿
TRP00042,2026-03-15,武汉,长沙,动车,一等座,4,1816.46,6569.44,探亲,2.6,否,去哪儿
TRP00043,2026-01-24,武汉,长沙,自驾,经济舱,3,1208.57,2870.86,探亲,7.6,否,APP直购
TRP00044,2026-05-22,北京,上海,高铁,硬卧,4,2730.25,7829.81,医疗,2.9,是,12306
TRP00045,2026-06-18,北京,上海,动车,经济舱,1,2131.78,1626.51,旅游,3.8,是,APP直购
TRP00046,2026-03-31,杭州,苏州,飞机,二等座,5,606.46,2641.27,探亲,6.7,是,携程
TRP00047,2026-07-18,天津,北京,高铁,硬卧,1,1204.29,995.87,医疗,5.7,是,去哪儿
TRP00048,2026-07-25,昆明,大理,动车,二等座,4,953.6,3540.36,医疗,1.2,是,去哪儿
TRP00049,2026-06-23,西安,郑州,高铁,硬卧,4,2077.5,7302.48,旅游,4.8,是,携程
TRP00050,2026-02-27,天津,北京,高铁,商务座,5,1323.49,5497.82,旅游,4.7,是,飞猪
TRP00051,2026-05-03,杭州,苏州,汽车,一等座,3,2708.7,8116.57,医疗,9.2,是,携程
TRP00052,2026-05-19,广州,深圳,动车,软卧,2,1985.2,3409.48,商务,7.1,是,携程
TRP00053,2026-02-12,南京,上海,飞机,一等座,3,2605.78,5666.11,休闲,6.1,是,APP直购
TRP00054,2026-05-13,杭州,苏州,汽车,商务舱,3,1999.33,5114.11,休闲,8.6,否,APP直购
TRP00055,2026-07-01,南京,上海,飞机,商务舱,2,944.68,1718.47,探亲,3.8,否,线下售票窗口
TRP00056,2026-03-29,武汉,长沙,自驾,商务座,4,1267.26,3684.44,商务,8.5,否,去哪儿
TRP00057,2026-02-09,南京,上海,动车,一等座,3,2622.15,7485.35,商务,1.1,否,飞猪
TRP00058,2026-04-03,昆明,大理,飞机,二等座,2,173.69,248.69,医疗,9.3,否,APP直购
TRP00059,2026-05-26,天津,北京,飞机,二等座,4,1302.95,3740.14,医疗,0.9,是,飞猪
TRP00060,2026-05-27,广州,深圳,高铁,一等座,5,2802.18,10887.78,医疗,1.7,否,去哪儿
